Title,Genres,Release Date,Release Country,Review Rating,Movie Run Time
Invoked (2015), Horror| Mystery| Thriller,5-Sep-17,USA,3.4,85 min
The Inflicted (2012), Horror| Thriller,30-Apr-14,Philippines,3.8,87 min
To Jennifer (2013), Horror| Thriller,9-Oct-13,USA,5.4,76 min
Black Forest (2015), Horror,31-Jan-15,Canada,4.4,
The Black Tape (2014), Crime| Horror| Mystery| Thriller,13-Nov-15,USA,7.6,92 min
Meet Me There (2014), Drama| Horror| Thriller,4-Apr-14,USA,4.6,93 min
Kristen (2015), Horror| Thriller,28-Sep-15,Netherlands,6.4,86 min
Ao Oni: The Animation (2017), Animation| Horror| Mystery,12-Feb-17,USA,6.7,67 min
A Cry from Within (2014), Horror| Mystery| Thriller,3-Apr-14,USA,3.9,96 min
Delusion (2016), Drama| Horror| Mystery,17-Oct-16,USA,6,85 min
Pretty Fine Things (2016), Horror,4-Feb-16,USA,,100 min
The Apostle (2012), Animation| Horror,23-Apr-15,Netherlands,7,
The Owl (2014), Drama| Horror| Thriller,1-Jun-14,USA,6.1,114 min
E: The Movie (2017), Horror| Thriller,18-Aug-17,India,7.4,122 min
Quadrant 9EV9 (2016), Action| Horror| Sci-Fi| Thriller,1-Mar-16,USA,3.5,88 min
Dead Weight (2012), Drama| Horror| Thriller,30-Mar-12,USA,5.3,89 min
Trophy Heads (2014), Horror,4-Jun-14,USA,5,87 min
The Evil Gene (2015), Horror| Thriller,1-Sep-15,USA,3.7,78 min
Rumah Gurita (2014), Drama| Horror| Mystery| Romance| Thriller,30-Oct-14,Indonesia,8,106 min
Backwater (2013), Horror| Mystery| Thriller,1-Apr-13,USA,6,94 min
Badoet (2015), Horror| Thriller,12-Nov-15,Indonesia,7.4,
Tales from the Dark Part 2 (2013), Horror,2013,Hong Kong,5.6,90 min
Grindsploitation 3: Video Nasty (2017), Crime| Horror,31-Oct-17,UK,,
Speed Demons (2012), Horror,2012,USA,4.3,
Anonymous Zombie (2017), Horror,1-Oct-17,Canada,,
The Rakugo Movie (2012), Comedy| Crime| Drama| Horror,6-Apr-13,Japan,8.3,110 min
Daylight (2013), Horror| Mystery| Thriller,24-Aug-13,UK,4.2,97 min
Collective: Unconscious (2016), Drama| Horror| Mystery| Thriller,13-Mar-16,USA,6.9,77 min
But Deliver Us from Evil (2017), Horror| Thriller,27-Apr-17,USA,7.6,109 min
The Demonic Tapes (2017), Horror,12-May-17,UK,4.2,71 min
A Capital dos Mortos 2: Mundo Morto (2015), Drama| Horror,17-May-15,Brazil,7.4,71 min
Samuel's Game (2014), Horror| Mystery| Thriller,20-Sep-14,USA,7.1,80 min
The Beckoning (2013), Horror,31-Oct-13,USA,5.8,65 min
Swarm of the Snakehead (2006), Comedy| Horror| Sci-Fi,1-Jul-16,USA,3.8,95 min
Olalla (2015), Drama| Horror,29-Jan-15,Bolivia,5,94 min
Pizza II: Villa (2013), Horror| Thriller,14-Nov-13,India,6.6,102 min
Malady (2015), Drama| Horror| Mystery,11-Jul-17,USA,9,93 min
MSG the Warrior: Lion Heart (2016), Adventure| Comedy| Crime| Drama| Horror,7-Oct-16,India,7.8,120 min
Grafir & Bein (2016), Drama| Horror| Thriller,1-Jan-16,Iceland,4.8,82 min
Bad Behaviour (2010), Horror| Thriller,1-Jul-13,USA,3.9,90 min
Survivors (2015), Drama| Horror| Thriller,18-Oct-15,USA,5.8,92 min
Rows (2015), Fantasy| Horror| Mystery,29-Sep-15,USA,4.2,84 min
Molly Crows (2013), Horror,5-Apr-14,UK,7.3,96 min
Creepers (2014), Horror,1-Oct-14,USA,5.8,93 min
The Devil Incarnate (2013), Drama| Fantasy| Horror| Sci-Fi| Thriller,18-Jun-14,Philippines,3.4,93 min
Random Acts of Violence (2012), Comedy| Crime| Horror,23-Jan-13,France,5.8,86 min
Raw Focus (2017), Horror,2017,USA,,
Last Bus (2016), Horror| Mystery,15-Jan-16,India,7,123 min
Rum (2017), Horror,17-Feb-17,India,5.3,131 min
The Tunche (2017), Horror,28-Jul-17,Peru,,
Dylan Dog: Il Trillo Del Diavolo [Fan-Film] (2012), Action| Comedy| Drama| Horror| Thriller,24-Jun-12,Italy,7.8,
Spell (2014), Horror,11-Sep-14,Thailand,5,
Brides of Satan (2017), Horror,31-Oct-17,USA,,
The Murder Show (2017), Horror,21-Oct-17,USA,,
Bullets for the Dead (2015), Action| Adventure| Comedy| Horror,29-Nov-15,Australia,5,91 min
Lady Psycho Killer (2015), Horror,2015,USA,7.7,82 min
How to Kill a Zombie (2014), Comedy| Horror,9-May-14,USA,4.5,91 min
Phantom of the Opera (2014), Horror,8-Oct-14,USA,3.3,96 min
Date of the Dead (2015), Comedy| Horror,17-Aug-17,USA,4.4,98 min
Wewe (2015), Horror,16-Apr-15,Indonesia,5.9,100 min
Freak Out (2015), Comedy| Horror,15-Oct-15,Israel,5.3,84 min
3rd Night (2017), Horror,26-Aug-17,UK,6.9,72 min
Amityville: Vanishing Point (2016), Horror,1-Apr-16,USA,3.6,
Amigo Undead (2015), Comedy| Horror,2-Jun-15,USA,5.6,84 min
Ouija: Game Never Ends (2015), Horror,6-Nov-15,India,8.3,119 min
De Reünie (2015), Horror| Thriller,1-Jan-16,USA,5.6,
